Size	Version	HW	Date
412837	1.00	V1	19.12.2015
412821	1.01	V1	24.12.2015
413700	1.02	V1	30.12.2015
418211	1.03	V1	17.01.2016
418028	1.04	V1	18.01.2016
418413	1.05	V1	21.01.2016
417903	1.05	V1	31.01.2016
410081	1.06	V1	22.02.2016
441250	1.10	V1	03.03.2016
444500	1.11	V1	08.03.2016
446425	1.12	V1	10.03.2016
448273	1.12	V1	10.03.2016
448828	1.13	V1	18.03.2016
438202	1.14	V1	30.03.2016
442644	1.15	V1	31.03.2016
460245	1.16	V1	08.04.2016
461323	1.16	V1	08.04.2016
467300	1.17	V1	16.04.2016
470409	1.18	V1	02.06.2016
477156	1.19	V1	14.06.2016
479341	1.20	V1	25.06.2016
480852	1.21	V1	02.07.2016
481420	1.22	V1	04.07.2016
481805	1.23	V1	09.07.2016
482915	1.24	V1	27.07.2016
510080	1.25	V1	15.08.2016
587542	2.00	V1	31.08.2016
593811	2.01	V1	01.09.2016
603420	2.10	V1	08.09.2016
604129	2.11	V1	09.09.2016
604312	2.12	V1	11.09.2016
603205	2.13	V1	13.09.2016
603311	2.14	V1	14.09.2016
604976	2.15	V1	16.09.2016
605005	2.16	V1	25.09.2016
604774	2.17	V1	26.09.2016
604713	2.18	V1	04.10.2016
606330	2.19	V1	24.10.2016
606484	2.20	V1	31.10.2016
583384	2.30	V1	29.11.2016
581212	2.31	V1	11.12.2016
620325	2.31	V2	11.12.2016
584109	2.32	V1	15.12.2016
623340	2.32	V2	15.12.2016
593872	2.33	V1	18.12.2016
634664	2.33	V2	18.12.2016
616964	2.34	V1	20.12.2016
752266	2.34	V2	20.12.2016
620506	2.35	V1	25.12.2016
763773	2.35	V2	25.12.2016

