Temperatur in °C
Time	TE Raw Avr	TE DevTemp Min	TE DevTemp Max	
00:00:00.200	7208	6870	6872	
00:00:00.426	7207	6870	6872	
00:00:00.644	7206	6870	6872	
00:00:00.873	7205	6870	6872	
00:00:01.095	7204	6871	6872	
00:00:01.308	7203	6871	6872	
00:00:01.572	7202	6871	6872	
00:00:01.653	7202	6871	6873	
00:00:01.877	7201	6871	6873	
00:00:02.099	7200	6871	6873	
00:00:02.311	7199	6871	6873	
00:00:02.649	7198	6871	6873	
00:00:02.875	7197	6871	6873	
00:00:03.101	7196	6871	6873	
00:00:03.317	7195	6871	6873	
00:00:03.545	7194	6872	6873	
00:00:03.761	7194	6872	6873	
00:00:03.989	7193	6872	6873	
00:00:04.212	7192	6872	6874	
00:00:04.331	7192	6872	6873	
00:00:04.544	7191	6872	6874	
00:00:04.767	7190	6872	6874	
00:00:05.001	7189	6872	6874	
00:00:05.219	7188	6872	6874	
00:00:05.444	7187	6872	6874	
00:00:05.660	7187	6873	6874	
00:00:05.894	7185	6872	6874	
00:00:06.109	7184	6872	6874	
00:00:06.327	7184	6873	6874	
00:00:06.556	7184	6872	6874	
00:00:06.677	7183	6873	6874	
00:00:06.902	7182	6873	6875	
00:00:07.127	7181	6873	6875	
00:00:07.357	7180	6873	6875	
00:00:07.575	7179	6873	6875	
00:00:07.794	7178	6873	6875	
00:00:08.015	7178	6873	6875	
00:00:08.236	7177	6873	6875	
00:00:08.459	7177	6873	6875	
00:00:08.678	7175	6874	6875	
00:00:08.906	7175	6874	6875	
00:00:09.126	7174	6873	6875	
00:00:09.348	7174	6873	6875	
00:00:09.570	7172	6874	6876	
00:00:09.796	7171	6874	6876	
00:00:10.017	7171	6873	6876	
00:00:10.242	7170	6874	6876	
00:00:10.471	7169	6874	6876	
00:00:10.685	7169	6874	6876	
00:00:10.910	7168	6874	6876	
00:00:11.135	7167	6874	6876	
00:00:11.362	7166	6874	6876	
00:00:11.580	7166	6874	6876	
00:00:11.789	7165	6874	6876	
00:00:12.021	7165	6875	6876	
00:00:12.244	7164	6875	6876	
00:00:12.468	7164	6874	6877	
00:00:12.588	7164	6875	6876	
00:00:12.820	7162	6875	6877	
00:00:13.039	7162	6875	6876	
00:00:13.268	7161	6875	6877	
00:00:13.485	7160	6875	6877	
00:00:13.712	7160	6875	6877	
00:00:13.933	7159	6875	6877	
00:00:14.154	7158	6875	6877	
00:00:14.360	7158	6875	6878	
00:00:14.586	7157	6875	6877	
00:00:14.821	7157	6875	6877	
00:00:15.039	7156	6876	6877	
00:00:15.259	7156	6875	6877	
00:00:15.485	7155	6876	6878	
00:00:15.706	7154	6876	6878	
00:00:15.925	7153	6876	6878	
00:00:16.153	7152	6876	6878	
00:00:16.381	7152	6876	6878	
00:00:16.597	7151	6876	6878	
00:00:16.828	7151	6876	6878	
00:00:17.038	7150	6876	6878	
00:00:17.268	7150	6876	6878	
00:00:17.486	7149	6877	6878	
00:00:17.715	7148	6876	6878	
00:00:17.946	7148	6876	6878	
00:00:18.161	7147	6876	6878	
00:00:18.387	7147	6876	6878	
00:00:18.610	7146	6877	6878	
00:00:18.828	7145	6877	6878	
00:00:19.059	7145	6877	6879	
00:00:19.277	7144	6877	6879	
00:00:19.501	7143	6877	6879	
00:00:19.723	7143	6877	6879	
00:00:19.948	7142	6877	6879	
00:00:20.173	7142	6877	6879	
00:00:20.392	7142	6877	6879	
00:00:20.608	7141	6877	6879	
00:00:20.833	7140	6877	6879	
00:00:21.058	7140	6877	6879	
00:00:21.278	7139	6877	6879	
00:00:21.505	7139	6877	6879	
00:00:21.727	7138	6877	6879	
00:00:21.847	7137	6877	6879	
00:00:22.076	7137	6878	6880	
00:00:22.296	7137	6878	6880	
00:00:22.517	7136	6878	6880	
00:00:22.739	7136	6877	6879	
00:00:22.962	7135	6878	6880	
00:00:23.177	7135	6878	6880	
00:00:23.405	7134	6878	6880	
00:00:23.628	7133	6878	6880	
00:00:23.849	7134	6878	6880	
00:00:24.072	7133	6878	6880	
00:00:24.289	7133	6878	6880	
00:00:24.525	7132	6879	6880	
00:00:24.738	7131	6878	6880	
00:00:24.966	7130	6878	6880	
00:00:25.184	7130	6879	6880	
00:00:25.410	7130	6879	6881	
00:00:25.628	7130	6879	6881	
00:00:25.850	7129	6879	6881	
00:00:26.076	7129	6878	6881	
00:00:26.194	7128	6879	6881	
00:00:26.419	7128	6879	6881	
00:00:26.641	7128	6879	6881	
00:00:26.865	7127	6879	6881	
00:00:27.084	7126	6879	6881	
00:00:27.314	7126	6880	6881	
00:00:27.538	7125	6879	6881	
00:00:27.756	7125	6879	6881	
00:00:28.370	7124	6879	6881	
00:00:28.380	7124	6879	6881	
00:00:28.418	7124	6879	6881	
00:00:28.645	7123	6880	6881	
00:00:28.873	7122	6879	6881	
00:00:29.091	7122	6880	6881	
00:00:29.315	7121	6879	6882	
00:00:29.536	7121	6880	6881	
00:00:29.756	7121	6880	6881	
00:00:29.980	7121	6880	6882	
00:00:30.200	7120	6880	6882	
00:00:30.423	7120	6880	6882	
00:00:30.626	7119	6880	6882	
00:00:30.880	7119	6880	6882	
00:00:30.993	7118	6880	6882	
00:00:31.217	7118	6880	6882	
00:00:31.435	7118	6880	6882	
00:00:31.660	7117	6880	6882	
00:00:31.879	7117	6880	6882	
00:00:32.103	7116	6880	6882	
00:00:32.326	7116	6880	6882	
00:00:32.538	7116	6880	6882	
00:00:32.771	7115	6880	6882	
00:00:32.987	7115	6881	6882	
00:00:33.210	7115	6881	6882	
00:00:33.438	7115	6881	6882	
00:00:33.559	7114	6881	6883	
00:00:33.783	7114	6881	6882	
00:00:34.002	7114	6880	6882	
00:00:34.227	7113	6881	6883	
00:00:34.448	7113	6881	6883	
00:00:34.668	7112	6881	6883	
00:00:34.891	7112	6881	6883	
00:00:35.116	7112	6881	6883	
00:00:35.318	7111	6881	6883	
00:00:35.551	7111	6881	6883	
00:00:35.782	7110	6881	6883	
00:00:35.926	7110	6881	6883	
00:00:36.144	7110	6881	6883	
00:00:36.369	7109	6881	6883	
00:00:36.592	7109	6881	6883	
00:00:36.797	7109	6881	6883	
00:00:37.039	7108	6881	6883	
00:00:37.254	7108	6881	6883	
00:00:37.471	7108	6881	6883	
00:00:37.699	7107	6882	6884	
00:00:37.923	7107	6882	6884	
00:00:38.141	7107	6882	6884	
00:00:38.370	7106	6882	6884	
00:00:38.589	7106	6882	6883	
00:00:38.810	7105	6882	6884	
00:00:39.034	7106	6882	6884	
00:00:39.253	7105	6882	6884	
00:00:39.472	7104	6882	6884	
00:00:39.695	7104	6882	6884	
00:00:39.920	7104	6882	6884	
00:00:40.140	7103	6882	6884	
00:00:40.364	7103	6882	6884	
00:00:40.588	7103	6882	6884	
00:00:40.807	7103	6882	6884	
00:00:41.027	7102	6883	6884	
00:00:41.248	7102	6883	6884	
00:00:41.473	7101	6883	6884	
00:00:41.691	7101	6883	6885	
00:00:41.905	7101	6883	6884	
00:00:42.136	7100	6883	6885	
00:00:42.254	7100	6883	6885	
00:00:42.472	7100	6883	6885	
00:00:42.695	7100	6883	6885	
00:00:42.917	7099	6883	6885	
00:00:43.138	7099	6883	6885	
00:00:43.365	7098	6883	6885	
00:00:43.484	7099	6883	6885	
00:00:43.706	7098	6883	6885	
00:00:43.925	7098	6883	6885	
00:00:44.148	7097	6883	6885	
00:00:44.362	7097	6883	6885	
00:00:44.592	7097	6883	6885	
00:00:44.816	7097	6883	6885	
00:00:44.929	7096	6883	6885	
00:00:45.152	7096	6883	6885	
00:00:45.365	7095	6883	6885	
00:00:45.485	7095	6884	6885	
00:00:45.708	7095	6884	6886	
00:00:45.930	7095	6884	6885	
00:00:46.040	7095	6883	6885	
00:00:46.266	7094	6884	6885	
00:00:46.478	7094	6884	6886	
00:00:46.599	7094	6884	6886	
00:00:46.821	7094	6883	6886	
00:00:47.043	7093	6884	6886	
00:00:47.157	7093	6884	6886	
00:00:47.379	7093	6884	6886	
00:00:47.492	7093	6884	6886	
00:00:47.712	7093	6884	6886	
00:00:47.939	7092	6884	6886	
00:00:48.163	7092	6884	6886	
00:00:48.377	7092	6884	6886	
00:00:48.498	7093	6884	6886	
00:00:48.714	7092	6884	6886	
00:00:48.834	7091	6884	6886	
00:00:49.058	7091	6884	6886	
00:00:49.279	7091	6884	6886	
00:00:49.496	7091	6884	6886	
00:00:49.610	7091	6884	6886	
00:00:49.837	7090	6884	6887	
00:00:50.057	7090	6885	6886	
00:00:50.280	7090	6885	6887	
00:00:50.504	7090	6884	6887	
00:00:50.624	7090	6885	6887	
00:00:50.847	7089	6885	6887	
00:00:51.065	7089	6885	6887	
00:00:51.288	7088	6885	6887	
00:00:51.503	7088	6885	6887	
00:00:51.735	7088	6885	6887	
00:00:51.950	7087	6885	6887	
00:00:52.174	7087	6885	6887	
00:00:52.395	7087	6885	6887	
00:00:52.517	7087	6885	6887	
00:00:52.737	7087	6885	6887	
00:00:52.963	7087	6885	6887	
00:00:53.186	7087	6885	6887	
00:00:53.400	7086	6885	6887	
00:00:53.522	7086	6885	6887	
00:00:53.735	7085	6885	6887	
00:00:53.840	7085	6885	6888	
00:00:54.059	7085	6885	6887	
00:00:54.274	7085	6885	6887	
00:00:54.388	7085	6886	6887	
00:00:54.526	7084	6885	6887	
00:00:54.739	7085	6885	6888	
00:00:54.974	7084	6886	6888	
00:00:55.197	7084	6886	6888	
00:00:55.416	7084	6885	6888	
00:00:55.639	7083	6886	6888	
00:00:55.863	7084	6886	6888	
00:00:56.082	7083	6886	6888	
