Temperatur in °C
Time	Seek Raw Averrage	Seek Raw Device Temperature	Seek Raw Diff	Seek Corr Averrage	
00:00:00.081	7595	4328	2	7593	
00:00:00.233	7588	4329	2	7586	
00:00:00.359	7583	4329	2	7581	
00:00:00.513	7578	4329	2	7576	
00:00:00.668	7573	4329	2	7571	
00:00:00.824	7565	4328	2	7563	
00:00:01.352	7659	4328	2	7657	
00:00:01.507	7651	4327	2	7649	
00:00:01.662	7645	4328	2	7643	
00:00:01.818	7643	4328	2	7641	
00:00:01.973	7637	4327	2	7635	
00:00:02.128	7629	4327	2	7627	
00:00:02.283	7623	4327	2	7621	
00:00:02.450	7617	4327	2	7615	
00:00:02.594	7611	4326	2	7609	
00:00:02.750	7607	4327	2	7605	
00:00:02.905	7601	4327	2	7599	
00:00:03.060	7595	4327	2	7593	
00:00:03.215	7589	4327	2	7587	
00:00:03.375	7583	4327	2	7581	
00:00:03.526	7579	4327	2	7577	
00:00:03.681	7573	4327	2	7571	
00:00:03.837	7569	4326	2	7567	
00:00:03.992	7561	4326	2	7559	
00:00:04.148	7557	4326	2	7555	
00:00:04.303	7553	4326	2	7551	
00:00:04.458	7547	4325	2	7545	
00:00:04.986	7625	4326	2	7623	
00:00:05.142	7620	4326	2	7618	
00:00:05.298	7613	4325	2	7611	
00:00:05.421	7609	4325	2	7607	
00:00:05.576	7603	4324	2	7601	
00:00:05.732	7599	4324	2	7597	
00:00:05.887	7594	4325	2	7592	
00:00:06.042	7588	4325	2	7586	
00:00:06.204	7583	4324	2	7581	
00:00:06.322	7579	4325	2	7577	
00:00:06.477	7575	4324	2	7573	
00:00:06.634	7569	4324	2	7567	
00:00:06.788	7563	4324	2	7561	
00:00:06.945	7559	4323	2	7557	
00:00:07.098	7554	4323	2	7552	
00:00:07.255	7551	4324	2	7549	
00:00:07.409	7547	4324	2	7545	
00:00:07.564	7541	4324	2	7539	
00:00:07.719	7537	4324	2	7535	
00:00:07.875	7531	4323	2	7529	
00:00:08.030	7526	4323	2	7524	
00:00:08.558	7592	4323	2	7590	
00:00:08.682	7590	4323	2	7588	
00:00:08.838	7584	4323	2	7582	
00:00:08.995	7580	4323	2	7578	
00:00:09.149	7576	4324	2	7574	
00:00:09.304	7570	4323	2	7568	
00:00:09.460	7565	4323	2	7563	
00:00:09.614	7561	4323	2	7559	
00:00:09.770	7556	4322	2	7554	
00:00:09.925	7550	4322	2	7548	
00:00:10.081	7547	4322	2	7545	
00:00:10.237	7542	4321	2	7540	
00:00:10.392	7538	4322	2	7536	
00:00:10.548	7534	4322	2	7532	
00:00:10.703	7531	4321	2	7529	
00:00:10.858	7525	4321	2	7523	
00:00:11.015	7522	4322	2	7520	
00:00:11.169	7517	4321	2	7515	
00:00:11.324	7512	4321	2	7510	
00:00:11.479	7506	4321	2	7504	
00:00:11.635	7503	4320	2	7501	
00:00:12.163	7559	4319	2	7557	
00:00:12.318	7553	4320	2	7551	
00:00:12.473	7549	4320	2	7547	
00:00:12.629	7545	4320	2	7543	
00:00:12.784	7540	4319	2	7538	
00:00:12.939	7535	4319	2	7533	
00:00:13.095	7531	4319	2	7529	
00:00:13.250	7529	4319	2	7527	
00:00:13.405	7523	4319	2	7521	
00:00:13.560	7520	4319	2	7518	
00:00:13.716	7515	4319	2	7513	
00:00:13.871	7512	4318	2	7510	
00:00:14.026	7507	4318	2	7505	
00:00:14.182	7503	4318	2	7501	
00:00:14.337	7499	4318	2	7497	
00:00:14.493	7495	4317	2	7493	
00:00:14.648	7491	4318	2	7489	
00:00:14.803	7487	4317	2	7485	
00:00:14.958	7483	4317	2	7481	
00:00:15.114	7479	4316	2	7477	
00:00:15.269	7475	4318	2	7473	
00:00:15.797	7526	4317	2	7524	
00:00:15.955	7522	4316	2	7520	
00:00:16.108	7520	4317	2	7518	
00:00:16.263	7516	4318	2	7514	
00:00:16.419	7510	4317	2	7508	
00:00:16.570	7507	4317	2	7505	
00:00:16.729	7502	4316	2	7500	
00:00:16.884	7500	4316	2	7498	
00:00:17.040	7496	4316	2	7494	
00:00:17.195	7492	4315	2	7490	
00:00:17.351	7487	4315	2	7485	
00:00:17.506	7484	4315	2	7482	
00:00:17.661	7480	4315	2	7478	
00:00:17.816	7476	4315	2	7474	
00:00:17.972	7472	4315	2	7470	
00:00:18.127	7470	4315	2	7468	
00:00:18.282	7466	4316	2	7464	
00:00:18.441	7462	4314	2	7460	
00:00:18.593	7458	4314	2	7456	
00:00:18.717	7456	4313	2	7454	
00:00:18.873	7453	4314	2	7451	
