Temperatur in °C
Time	Seek Raw Averrage	Seek Raw Device Temperature	
00:00:00.137	7505	4281	
00:00:00.156	7505	4281	
00:00:00.288	7501	4281	
00:00:00.302	7501	4281	
00:00:00.444	7497	4280	
00:00:00.455	7497	4280	
00:00:00.599	7493	4281	
00:00:00.612	7493	4281	
00:00:00.754	7489	4280	
00:00:00.767	7489	4280	
00:00:00.910	7485	4280	
00:00:00.923	7485	4280	
00:00:01.065	7481	4281	
00:00:01.078	7481	4281	
00:00:01.220	7479	4280	
00:00:01.233	7479	4280	
00:00:01.375	7473	4280	
00:00:01.389	7473	4280	
00:00:01.531	7469	4280	
00:00:01.544	7469	4280	
00:00:01.686	7465	4280	
00:00:01.699	7465	4280	
00:00:02.214	7524	4280	
00:00:02.227	7524	4280	
00:00:02.370	7520	4279	
00:00:02.386	7520	4279	
00:00:02.525	7516	4280	
00:00:02.538	7516	4280	
00:00:02.680	7511	4279	
00:00:02.693	7511	4279	
00:00:02.835	7506	4279	
00:00:02.849	7506	4279	
00:00:02.991	7502	4279	
00:00:03.004	7502	4279	
00:00:03.146	7498	4279	
00:00:03.170	7498	4279	
00:00:03.302	7493	4278	
00:00:03.315	7493	4278	
00:00:03.457	7490	4279	
00:00:03.470	7490	4279	
00:00:03.612	7486	4279	
00:00:03.623	7486	4279	
00:00:03.768	7481	4278	
00:00:03.781	7481	4278	
00:00:03.923	7476	4278	
00:00:03.935	7476	4278	
00:00:04.078	7472	4277	
00:00:04.091	7472	4277	
00:00:04.233	7469	4277	
00:00:04.246	7469	4277	
00:00:04.357	7467	4277	
00:00:04.371	7467	4277	
00:00:04.513	7462	4277	
00:00:04.529	7462	4277	
00:00:04.668	7458	4277	
00:00:04.681	7458	4277	
00:00:04.827	7456	4277	
00:00:04.834	7456	4277	
00:00:04.979	7453	4277	
00:00:04.992	7453	4277	
00:00:05.134	7450	4277	
00:00:05.147	7450	4277	
00:00:05.290	7445	4276	
00:00:05.303	7445	4276	
00:00:05.818	7502	4277	
00:00:05.831	7502	4277	
00:00:05.970	7497	4276	
00:00:05.976	7497	4276	
00:00:06.128	7494	4276	
00:00:06.141	7494	4276	
00:00:06.284	7490	4275	
00:00:06.296	7490	4275	
00:00:06.439	7485	4276	
00:00:06.450	7485	4276	
00:00:06.594	7482	4276	
00:00:06.608	7482	4276	
00:00:06.749	7480	4276	
00:00:06.762	7480	4276	
00:00:06.905	7475	4276	
00:00:06.918	7475	4276	
00:00:07.060	7471	4276	
00:00:07.073	7471	4276	
00:00:07.215	7468	4276	
00:00:07.228	7468	4276	
00:00:07.371	7464	4275	
00:00:07.384	7464	4275	
00:00:07.495	7460	4275	
00:00:07.508	7460	4275	
00:00:07.650	7457	4275	
00:00:07.663	7457	4275	
00:00:07.808	7452	4274	
00:00:07.821	7452	4274	
00:00:07.961	7450	4275	
00:00:07.975	7450	4275	
00:00:08.116	7446	4274	
00:00:08.129	7446	4274	
00:00:08.271	7443	4275	
00:00:08.286	7443	4275	
00:00:08.427	7440	4274	
00:00:08.440	7440	4274	
00:00:08.582	7436	4274	
00:00:08.595	7436	4274	
00:00:08.738	7433	4275	
00:00:08.750	7433	4275	
00:00:08.893	7430	4275	
00:00:08.905	7430	4275	
00:00:09.421	7465	4274	
00:00:09.434	7465	4274	
00:00:09.578	7460	4274	
00:00:09.591	7460	4274	
00:00:09.731	7457	4274	
00:00:09.744	7457	4274	
00:00:09.856	7454	4274	
00:00:09.868	7454	4274	
00:00:10.012	7450	4273	
00:00:10.025	7450	4273	
00:00:10.168	7448	4274	
00:00:10.180	7448	4274	
00:00:10.323	7444	4273	
00:00:10.335	7444	4273	
00:00:10.447	7442	4274	
00:00:10.460	7442	4274	
00:00:10.602	7436	4273	
00:00:10.614	7436	4273	
00:00:10.758	7434	4273	
00:00:10.770	7434	4273	
00:00:10.913	7430	4273	
00:00:10.926	7430	4273	
00:00:11.068	7426	4273	
00:00:11.081	7426	4273	
00:00:11.226	7422	4272	
00:00:11.239	7422	4272	
00:00:11.379	7419	4272	
00:00:11.392	7419	4272	
00:00:11.534	7416	4272	
00:00:11.547	7416	4272	
00:00:11.692	7412	4272	
00:00:11.705	7412	4272	
00:00:11.845	7410	4272	
00:00:11.858	7410	4272	
00:00:12.000	7406	4272	
00:00:12.014	7406	4272	
00:00:12.156	7404	4271	
00:00:12.169	7404	4271	
00:00:12.311	7400	4272	
00:00:12.324	7400	4272	
00:00:12.466	7396	4272	
00:00:12.479	7396	4272	
00:00:12.995	7430	4271	
00:00:13.008	7430	4271	
00:00:13.150	7426	4271	
00:00:13.162	7426	4271	
00:00:13.305	7422	4271	
00:00:13.318	7422	4271	
00:00:13.462	7420	4270	
00:00:13.476	7420	4270	
00:00:13.616	7416	4270	
00:00:13.629	7416	4270	
00:00:13.771	7414	4271	
00:00:13.784	7414	4271	
00:00:13.926	7410	4270	
00:00:13.939	7410	4270	
00:00:14.081	7408	4270	
00:00:14.095	7408	4270	
00:00:14.237	7402	4269	
00:00:14.249	7402	4269	
00:00:14.393	7402	4270	
00:00:14.406	7402	4270	
00:00:14.548	7398	4269	
00:00:14.560	7398	4269	
00:00:14.703	7396	4271	
00:00:14.716	7396	4271	
00:00:14.858	7392	4270	
00:00:14.872	7392	4270	
00:00:15.014	7390	4269	
00:00:15.027	7390	4269	
00:00:15.172	7386	4269	
00:00:15.186	7386	4269	
00:00:15.324	7384	4269	
00:00:15.337	7384	4269	
00:00:15.479	7380	4269	
00:00:15.493	7380	4269	
00:00:15.635	7378	4269	
00:00:15.648	7378	4269	
00:00:15.790	7375	4269	
00:00:15.803	7375	4269	
00:00:15.945	7372	4269	
00:00:15.959	7372	4269	
00:00:16.101	7368	4268	
00:00:16.114	7368	4268	
00:00:16.629	7412	4268	
00:00:16.642	7412	4268	
00:00:16.784	7410	4268	
00:00:16.797	7410	4268	
00:00:16.940	7407	4267	
00:00:16.954	7407	4267	
00:00:17.095	7406	4268	
00:00:17.108	7406	4268	
00:00:17.216	7402	4268	
00:00:17.222	7402	4268	
00:00:17.343	7400	4268	
00:00:17.356	7400	4268	
00:00:17.468	7398	4268	
00:00:17.481	7398	4268	
00:00:17.623	7394	4267	
00:00:17.636	7394	4267	
00:00:17.780	7391	4268	
00:00:17.793	7391	4268	
00:00:17.934	7389	4267	
00:00:17.947	7389	4267	
00:00:18.058	7386	4267	
00:00:18.071	7386	4267	
00:00:18.213	7382	4267	
00:00:18.226	7382	4267	
00:00:18.368	7379	4267	
00:00:18.382	7379	4267	
00:00:18.524	7378	4267	
00:00:18.537	7378	4267	
00:00:18.648	7375	4266	
00:00:18.661	7375	4266	
00:00:18.797	7372	4266	
00:00:18.803	7372	4266	
00:00:18.959	7371	4267	
00:00:18.971	7371	4267	
00:00:19.119	7367	4267	
00:00:19.132	7367	4267	
00:00:19.270	7365	4266	
00:00:19.282	7365	4266	
00:00:19.424	7362	4266	
00:00:19.436	7362	4266	
00:00:19.580	7360	4266	
00:00:19.592	7360	4266	
00:00:20.109	7388	4266	
00:00:20.121	7388	4266	
00:00:20.264	7385	4265	
00:00:20.276	7385	4265	
00:00:20.420	7384	4266	
00:00:20.431	7384	4266	
00:00:20.575	7380	4265	
00:00:20.587	7380	4265	
00:00:20.730	7377	4265	
00:00:20.742	7377	4265	
00:00:20.885	7374	4265	
00:00:20.898	7374	4265	
00:00:21.010	7372	4266	
00:00:21.022	7372	4266	
00:00:21.165	7369	4265	
00:00:21.177	7369	4265	
00:00:21.320	7366	4264	
00:00:21.333	7366	4264	
00:00:21.475	7364	4265	
00:00:21.486	7364	4265	
00:00:21.599	7362	4265	
00:00:21.610	7362	4265	
00:00:21.750	7361	4265	
00:00:21.756	7361	4265	
00:00:21.911	7358	4265	
00:00:21.923	7358	4265	
00:00:22.066	7355	4265	
